administrative_area_level_1,administrative_area_level_2,city,latitude,longitude,sa_clli
Quebec,Capitale-Nationale,Saint-Marc-des-Carrières,46.681457,-72.051451,STMCPQ
Quebec,Mauricie,Saint-Narcisse,46.56588,-72.465,SSCHPQ
Quebec,Mauricie,Saint-Ubalde,46.82225,-72.32433,STUBPQ
Ontario,Hastings County,Belleville,44.1643948,-77.3808889,BLVLON24
Ontario,Regional Municipality of Durham,Oshawa,43.8988,-78.86146,OSHWON95
Ontario,Regional Municipality of Durham,Oshawa,43.87967,-78.854576,OSHWONFP
Ontario,Regional Municipality of Durham,Oshawa,43.89749,-78.86298,OSHWONTD
Ontario,Regional Municipality of Durham,Ajax,43.854991,-79.045026,PCNGON62
Ontario,Regional Municipality of Durham,Pickering,43.84902,-79.07363,PCNGON62
Ontario,Peterborough County,Peterborough,44.30551,-78.32129,PTBOON62
Quebec,Gaspésie--Îles-de-la-Madeleine,Gaspé,48.932448,-64.307084,GASPPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Percé,48.617832,-64.277267,BRCHPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,"Newport, Chandler, Quebec",48.341746,-64.729289,CHNDPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Chandler,48.348467,-64.682103,CHNDPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Gaspé,48.835371,-64.336147,CPRSPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Percé,48.424345,-64.332408,PERCPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Cloridorme,49.17911381,-64.84101318,CRDRPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Grande-Rivière,48.398816,-64.498075,GDRVPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Grande-Vallée,49.223795,-65.130166,GDVAPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Madeleine-Centre,49.248428,-65.346436,GDVAPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,Murdochville,48.95879566,-65.4953306,MDVLPQ
Quebec,Gaspésie--Îles-de-la-Madeleine,"Newport, Chandler, Quebec",48.261593,-64.747946,NWPTPQ
