Id,Techno,Eqpt_Mod,Act,,Act_desc,Avg_single,PS50_Plan,PS50_Act,Avg_Actual
603,9,98,DESN,1,Mise en service,2.8,9,0,3
604,9,98,DFOT,6,Mise en service,1.9,9,0,4
605,9,98,DESN,1,Ajout de carte,1.8,4,0,
606,9,98,DFOT,6,Ajout de carte,0,0,0,
607,9,98,DESN,1,Ajout de facilité,0,0,0,
608,9,98,DFOT,6,Ajout de facilité,0,0,0,
609,9,98,DESN,1,Enlèvement de carte,0,0,0,
610,9,98,DFOT,6,Enlèvement de carte,0,0,0,
611,9,98,DESN,1,Enlèvement de facilité,0,0,0,
612,9,98,DFOT,6,Enlèvement de facilité,0,0,0,
613,9,98,DESN,1,Décomission,0,0,0,
614,9,98,DFOT,6,Décomission,0,0,0,
615,9,99,DESN,1,Mise en service,12.4,15,0,
616,9,99,DFOT,6,Mise en service,12.6,13,0,
617,9,99,DESN,1,Ajout de carte,3.4,4,0,
618,9,99,DFOT,6,Ajout de carte,1.9,2,0,
619,9,99,DESN,1,Ajout de facilité,5.7,5,0,5
620,9,99,DFOT,6,Ajout de facilité,3.6,5,0,6
621,9,99,DESN,1,Enlèvement de carte,0,0,0,
622,9,99,DFOT,6,Enlèvement de carte,0,0,0,
623,9,99,DESN,1,Enlèvement de facilité,0,0,0,
624,9,99,DFOT,6,Enlèvement de facilité,0,0,0,
625,9,99,DESN,1,Décomission,0,0,0,
626,9,99,DFOT,6,Décomission,0,0,0,
627,9,100,DESN,1,Mise en service,6.3,6,0,6
628,9,100,DFOT,6,Mise en service,20.3,19,0,20
629,9,100,DESN,1,Ajout de carte,13.6,14,0,16
630,9,100,DFOT,6,Ajout de carte,2.8,5,0,2
631,9,100,DESN,1,Ajout de facilité,8.5,1,0,
632,9,100,DFOT,6,Ajout de facilité,0,0,0,
633,9,100,DESN,1,Enlèvement de carte,3.8,4,0,
634,9,100,DFOT,6,Enlèvement de carte,0,0,0,
635,9,100,DESN,1,Enlèvement de facilité,0,0,0,
636,9,100,DFOT,6,Enlèvement de facilité,0,0,0,
637,9,100,DESN,1,Décommission,0,0,0,
638,9,100,DFOT,6,Décommission,0,0,0,
639,9,53,DFOT,6,Clean Sweep - Enlèvement,3.7,5,0,2
640,9,101,DESN,1,Mise en service,5.9,8,0,5
641,9,101,DFOT,6,Mise en service,10.5,12,0,4
642,9,101,DESN,1,Ajout de carte,5.2,6,0,6
643,9,101,DFOT,6,Ajout de carte,2.8,4,0,6
644,9,101,DESN,1,Ajout de facilité,0,0,0,
645,9,101,DFOT,6,Ajout de facilité,0,0,0,
646,9,101,DESN,1,Enlèvement de carte,0,0,0,
647,9,101,DFOT,6,Enlèvement de carte,0,0,0,
648,9,101,DESN,1,Enlèvement de facilité,0,0,0,
649,9,101,DFOT,6,Enlèvement de facilité,0,0,0,
650,9,101,DESN,1,Décomission,0,0,0,
651,9,101,DFOT,6,Décomission,0,0,0,
652,9,102,DESN,1,Mise en service,7.9,10,0,8
653,9,102,DFOT,6,Mise en service,8.3,10,0,14
654,9,102,DESN,1,Ajout de carte,2.1,4,0,4
655,9,102,DFOT,6,Ajout de carte,4.8,5,0,3
656,9,102,DESN,1,Ajout de facilité,2.5,8,0,3
